from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
2861808,2861806,,,343869175,313313435,3,
2861808,2861806,,,343870441,313313435,3,
2861808,2861809,,,313319071,313318344,3,
2861808,2861809,,,313319071,313311143,3,
2861808,2861812,,,325553993,338807603,3,
2861810,2861808,,,342671531,325554042,3,
2861810,2861808,,,319702402,325543739,3,
2861810,2861808,,,342675642,331295458,3,
2861810,2861808,,,342675598,325543739,3,
2861810,2861808,,,342675338,325543739,3,
2861810,2861808,,,342675524,325555776,3,
2861810,2861808,,,342676134,342675784,3,
2861810,2861808,,,342674626,325543739,3,
2861810,2861808,,,342674546,325543739,3,
2861810,2861808,,,342673274,341106560,3,
2861810,2861808,,,342674544,328332192,3,
2861810,2861808,,,342673706,341108512,3,
2861810,2861808,,,319692922,325555776,3,
2861810,2861808,,,342676364,342674963,3,
2861810,2861808,,,313310106,325555776,3,
2861810,2861808,,,338803021,325550051,3,
2861810,2861808,,,338800772,325555047,3,
2861810,2861808,,,341108288,325555047,3,
2861810,2861808,,,342674859,325555776,3,
2861810,2861808,,,342676364,325555047,3,
2861810,2861808,,,342676815,325555047,3,
2861810,2861808,,,313314869,331295458,3,
2861810,2861808,,,342674544,341108047,3,
2861810,2861808,,,343873172,331294088,3,
2861810,2861808,,,325555663,325543739,3,
2861810,2861808,,,342675802,325554042,3,
2861810,2861808,,,313320357,325543739,3,
2861810,2861808,,,338801853,325555047,3,
2861810,2861808,,,325551166,328332192,3,
2861810,2861808,,,319703233,325543739,3,
2861810,2861808,,,340735556,340738008,3,
2861810,2861808,,,319697267,313320406,3,
2861810,2861808,,,313316286,325543739,3,
2861810,2861808,,,342675802,342675227,3,
2861810,2861808,,,342675598,342676013,3,
2861810,2861808,,,319693184,325543739,3,
2861810,2861808,,,313314869,328332192,3,
2861810,2861808,,,313317436,325554042,3,
2861810,2861808,,,340737398,340738757,3,
2861810,2861808,,,313315490,325555047,3,
2861810,2861808,,,342675338,342676013,3,
2861810,2861808,,,319697267,331294088,3,
2861810,2861808,,,325551166,331295458,3,
2861810,2861808,,,342671573,341106751,3,
2861810,2861808,,,338806315,325555047,3,
2861810,2861808,,,340735655,340735692,3,
2861810,2861808,,,331294651,325554042,3,
2861810,2861808,,,343871905,325543739,3,
2861810,2861808,,,319697267,322909655,3,
2861810,2861808,,,319695997,325543739,3,
2861810,2861808,,,325554676,325554042,3,
2861810,2861808,,,342675524,342675784,3,
2861810,2861808,,,343874147,342675784,3,
2861810,2861808,,,343871905,342676013,3,
2861810,2861808,,,313319079,325543739,3,
2861810,2861808,,,342676815,342674963,3,
2861810,2861808,,,342671531,338801818,3,
2861810,2861808,,,338800717,325555047,3,
2861810,2861808,,,341076413,342676906,3,
2861810,2861808,,,342674544,331295458,3,
2861810,2861808,,,342673706,325550051,3,
2861810,2861808,,,319697064,325550051,3,
2861810,2861808,,,342675642,342676190,3,
2861810,2861808,,,341076413,325550051,3,
2861810,2861808,,,341082134,325550051,3,
2861810,2861808,,,319694800,325554042,3,
2861810,2861808,,,313317149,313320406,3,
2861810,2861808,,,313317149,342676386,3,
2861810,2861808,,,338805073,325555047,3,
2861810,2861808,,,313318001,325550051,3,
2861810,2861808,,,340737977,340736748,3,
2861810,2861808,,,342672023,325555047,3,
2861810,2861808,,,313317149,331294088,3,
2861810,2861808,,,325546766,325550051,3,
2861810,2861808,,,319699910,331295458,3,
2861810,2861808,,,313317149,343871641,3,
2861810,2861808,,,319699910,328332192,3,
2861810,2861808,,,342672023,341108141,3,
2861810,2861808,,,313317149,322909655,3,
2861810,2861808,,,319698137,325543739,3,
2861811,2861807,,,313310142,325544768,3,
2861811,2861807,,,313316132,325546420,3,
2861811,2861807,,,313310442,328327991,3,
2861811,2861807,,,313311980,325544790,3,
2861811,2861807,,,313316865,325551714,3,
2861811,2861807,,,313309890,342676652,3,
2861811,2861807,,,313311206,325551402,3,
2861811,2861807,,,313309890,325556372,3,
2861811,2861807,,,313315353,325548662,3,
2861812,2861807,,,338802555,325555303,3,
2861812,2861807,,,313314292,325558537,3,
2861812,2861807,,,343876241,325555303,3,
2861812,2861807,,,313311196,325558537,3,
2861812,2861807,,,341085186,325545305,3,
2861812,2861807,,,343872847,342676118,3,
2861812,2861807,,,338800208,325545305,3,
2861812,2861807,,,338801310,325545305,3,
2861812,2861807,,,341087689,325555303,3,
2861812,2861807,,,319699744,325555303,3,
2861812,2861807,,,341086854,341081273,3,
2861812,2861807,,,341087376,325558537,3,
2861812,2861807,,,341088194,341081273,3,
2861812,2861807,,,338807231,325558569,3,
2861812,2861807,,,341081828,325558569,3,
2861812,2861807,,,343870048,325558537,3,
2861812,2861807,,,338803483,325558537,3,
2861812,2861807,,,341078178,325555600,3,
2861812,2861807,,,313316838,325545305,3,
2861812,2861807,,,341078178,325555303,3,
2861812,2861807,,,341077454,325558537,3,
2861812,2861808,,,313313950,313313414,3,
2861812,2861808,,,313313982,325544766,3,
2861812,2861808,,,341078178,342676190,3,
2861812,2861808,,,313310963,313317570,3,
2861812,2861808,,,341078178,338806229,3,
2861812,2861808,,,313318666,313318270,3,
2861812,2861808,,,343866849,325543739,3,
2861812,2861808,,,341077454,325555776,3,
2861812,2861808,,,313319961,325547242,3,
2861812,2861808,,,313320385,313314741,3,
2861812,2861808,,,341078178,328332192,3,
2861812,2861808,,,341078178,331295458,3,
2861812,2861808,,,319701145,325554042,3,
2861812,2861808,,,313316483,313320208,3,
2861812,2861808,,,343867212,341108141,3,
2861812,2861808,,,341088194,325554042,3,
2861812,2861808,,,341084791,325543739,3,
2861812,2861808,,,313311585,313319701,3,
2861812,2861808,,,343867839,325555047,3,
2861812,2861808,,,313310121,313313506,3,
2861812,2861808,,,313310525,313316206,3,
2861812,2861808,,,319697505,325550051,3,
2861812,2861808,,,341081828,325543739,3,
2861812,2861808,,,313318245,313310624,3,
2861812,2861808,,,343866451,341106751,3,
2861812,2861808,,,313319700,313318277,3,
2861812,2861808,,,313311141,325553701,3,
2861812,2861808,,,313310436,313314003,3,
2861812,2861808,,,340737557,340736565,3,
2861812,2861808,,,341086854,325554042,3,
2861812,2861808,,,313317958,313317372,3,
2861812,2861808,,,313315265,325551589,3,
2861812,2861808,,,313312590,313320208,3,
2861812,2861808,,,338804118,325543739,3,
2861812,2861808,,,313314748,313314929,3,
2861812,2861808,,,313310058,313318706,3,
2861812,2861808,,,313319132,313319071,3,
2861812,2861808,,,343868170,341106560,3,
2861812,2861808,,,313319169,313313292,3,
2861812,2861808,,,343869254,322909655,3,
2861812,2861808,,,313314478,325552406,3,
2861812,2861808,,,343876241,331295458,3,
2861812,2861808,,,313310436,325545527,3,
2861812,2861808,,,338803119,325555776,3,
2861812,2861808,,,313312486,325559067,3,
2861812,2861808,,,313310474,325554864,3,
2861812,2861808,,,313316142,325554864,3,
2861812,2861808,,,313318559,313310248,3,
2861812,2861808,,,313319961,313319672,3,
2861812,2861808,,,338802555,328332192,3,
2861812,2861808,,,313313982,313315456,3,
2861812,2861808,,,343870136,325554042,3,
